rt,Output1.txt,Output3.txt,Output4.txt,Output5.txt,Output6.txt,Output7.txt
0.0,-0.004,0.01,0.003,-0.016,0.023,0.025
0.033444816053511704,0.005013766912891092,0.0,0.001,0.0010137669128910919,0.003013766912891092,0.003
0.06688963210702341,0.010052732798805142,0.002026366399402571,0.001,0.006026366399402571,0.006026366399402571,0.006026366399402571
0.1003344481605351,0.015040149839199891,0.0,0.0,0.012040149839199892,0.009959850160800109,0.007959850160800109
0.13377926421404682,0.013,-0.001,0.002,0.01605386861079698,0.008,0.00605386861079698
0.16722408026755853,0.013,-6.651623860246304e-05,0.0,0.018133032477204925,0.003933483761397537,0.011066516238602463
0.2006688963210702,0.013080299678399784,-0.001,0.001919700321600216,0.02,0.003,0.013
0.23411371237458192,0.012906029691297132,0.001,0.005,0.017,0.005,0.013906029691297133
0.26755852842809363,0.012106666077802355,-0.001,0.007893333922197645,0.017,0.006893333922197645,0.013
0.3010033444816053,0.009759100964800642,-0.002,0.012120449517599679,0.018,0.0007591009648006416,0.011
0.33444816053511706,0.005,0.0,0.013865927993391241,0.020134072006608758,-0.003,0.008
0.36789297658862874,0.007,0.001,0.00885318408299775,0.02714681591700225,-0.0008531840829977499,0.00914681591700225
0.4013377926421404,0.004,0.003160599356799568,0.006839400643200432,0.029,0.0043211987135991356,0.012
0.43478260869565216,0.005,0.007174173704514649,0.007174173704514649,0.026825826295485352,0.008174173704514648,0.012348347409029297
0.46822742474916385,0.006186965756202145,0.008,0.007813034243797855,0.022813034243797853,0.01037393151240429,0.016186965756202147
0.5016722408026756,0.008,0.011,0.005,0.01879925080400053,0.01620074919599947,0.02
0.5351170568561873,0.006214275402420539,0.01221427540242054,0.0047857245975794615,0.013571449195158923,0.019214275402420537,0.01778572459757946
0.568561872909699,0.0037728844045979647,0.016227115595402037,0.006,0.007772884404597964,0.019,0.020227115595402037
0.6020066889632106,0.003,0.019759100964800644,0.006,0.0067591009648006435,0.017,0.024481798070398714
0.6354515050167224,0.001745622899673564,0.020508754200652873,0.005745622899673564,0.006254377100326437,0.012745622899673563,0.028
0.6688963210702341,0.004267265434601934,0.02046546913079613,0.0027327345653980657,0.009267265434601935,0.0054654691307961314,0.028
0.7023411371237458,0.006281048874399259,0.01671895112560074,0.0012810488743992586,0.011,-0.0035620977487985173,0.026437902251201482
0.7357859531772575,0.0057055212017676936,0.012,0.001,0.011,-0.009294478798232307,0.024294478798232308
0.7692307692307692,0.002,0.009692584726198177,0.001,0.009,-0.013,0.025
0.8026755852842808,-0.0003211987135991378,0.009,0.0013211987135991379,0.01,-0.011321198713599137,0.028
0.8361204013377926,0.0016691609922764078,0.009665419503861796,0.004,0.014334580496138205,-0.013,0.030334580496138203
0.8695652173913043,0.004695130226003431,0.008347565113001715,0.008347565113001715,0.019,-0.011652434886998284,0.031
0.903010033444816,0.008,0.00863865144720096,0.012,0.02436134855279904,-0.008,0.03408404565839712
0.9364548494983277,0.008,0.007,0.011374682194044087,0.026,-0.005625317805955913,0.04274936438808818
0.9698996655518394,0.007387714952201604,0.008387714952201605,0.012,0.02422457009559679,-0.005387714952201604,0.04977542990440321
1.0033444816053512,0.007401498391998942,0.007598501608001058,0.014401498391998942,0.022,-0.007,0.051
1.0367892976588629,0.004585216108050029,0.00841478389194997,0.015585216108050028,0.018,-0.006,0.04858521610805003
1.0702341137123745,0.002572135208598493,0.013427864791401506,0.013,0.017572135208598492,-0.006427864791401507,0.04114427041719699
1.1036789297658862,-0.001441648231198818,0.018,0.013,0.014,-0.0025583517688011824,0.03055835176880118
1.137123745819398,-0.006364656769567607,0.02045488558985587,0.012,0.015,-0.002,0.02509022882028826
1.1705685618729096,-0.012,0.025,0.010468014630601381,0.013531985369398617,-0.002,0.018063970738797237
1.2040133779264213,-0.01051820192960128,0.01951820192960128,0.012,0.01396359614079744,0.0,0.01351820192960128
1.237458193979933,-0.009,0.01550501271223826,0.01,0.014,-0.002,0.017505012712238262
1.2709030100334449,-0.01,0.015,0.01,0.01650816446980131,0.002508164469801311,0.01549183553019869
1.3043478260869565,-0.007478052090401378,0.016478052090401377,0.009478052090401378,0.018521947909598623,0.005,0.013478052090401378
1.3377926421404682,-0.0049298220286646734,0.015535088985667663,0.008,0.022535088985667664,0.0065350889856676635,0.013
1.37123745819398,0.0015483143090011867,0.016548314309001187,0.008,0.023451685690998814,0.004451685690998813,0.015
1.4046822742474916,0.005124195497597019,0.014,0.005437902251201491,0.021,0.003,0.009313706753604472
1.4381270903010033,0.013725572050720601,0.016575190683573535,0.002575190683573534,0.02215038136714707,0.015451144101441203,-0.024052669570029474
1.471571906354515,0.02776539244460322,0.02676539244460322,0.011176928296402147,0.034353856592804294,0.029,-0.04623460755539678
1.5050167224080266,0.0346022475879984,0.0398067427639952,0.0232044951759968,0.0468067427639952,0.0287955048240032,-0.0203865144720096
1.5384615384615383,0.030615292381479402,0.043,0.02723058476295881,0.045,0.016384707618520598,-0.005001199040767741
1.57190635451505,0.5134092352660092,0.48943814716521694,0.5025812171022218,0.5059526031148208,0.4636953751400189,0.6018384450770238
1.6053511705685617,1.0328415125247412,1.0888350765055173,1.0987622687871121,1.1024774739327157,1.076689461068707,1.095762268787112
1.6387959866220736,1.153223867728559,1.2438116262842565,1.244257685490403,1.2644670203636417,1.248122414443027,1.1748728335057699
1.6722408026755853,0.6277672152473037,0.7274359790739047,0.7247672152473038,0.7544359790739046,0.7387672152473037,0.664429687594102
1.705685618729097,-0.27476417991946134,-0.22205003071462906,-0.24768493618183257,-0.20941512524742545,-0.21441512524742545,-0.34030380178827574
1.7391304347826086,-0.6796197998123249,-0.6660972786987809,-0.6653152955896161,-0.6620972786987809,-0.6744882702533632,-0.6368828589302481
1.7725752508361203,-0.22881754708572388,-0.21381754708572387,-0.21652646075152465,-0.21623537441732543,-0.2261086334199231,-0.2094512520727354
1.806020066889632,-0.017377966571244158,-0.0006552694656460772,-0.011100663676842239,-0.003932572360047997,-0.01137796657124416,-0.04343684631043072
1.8394648829431437,0.021206792425591287,0.035206792425591285,0.026677987375985483,0.04367798737598548,0.02420679242559129,-0.021264402524802904
1.8729096989966554,0.026250936494999353,0.04174906350500065,0.036749063505000644,0.054749063505000646,0.02750187298999871,-0.01949812701000129
1.906354515050167,0.014474306110404076,0.043,0.03347430611040408,0.04923715305520204,0.019474306110404075,-0.028762846944797964
1.9397993311036787,0.012775699173102966,0.042,0.03,0.041224300826897035,0.014,-0.031224300826897033
1.9732441471571907,0.019578426688401103,0.03921078665579945,0.029789213344200552,0.04278921334420055,0.014789213344200552,-0.026210786655799446
2.0066889632107023,0.027802996783997884,0.038,0.03280299678399789,0.046,0.014802996783997885,-0.026
2.040133779264214,0.028815800871008893,0.03863160174201778,0.035,0.04318419912899111,0.014,-0.02136839825798222
2.0735785953177257,0.027170636816599567,0.04017063681659957,0.03634127363319913,0.043170636816599564,0.015170636816599569,-0.02182936318340043
2.1070234113712374,0.01615685337680224,0.02847056013040672,0.02062741350720896,0.03615685337680224,0.00647056013040672,-0.02384314662319776
2.140468227424749,0.011144097431085237,0.029567707706744283,0.018711805137829524,0.033,0.005855902568914761,-0.02385590256891476
2.1739130434782608,0.008,0.05334756511300175,0.031608539067801054,0.03213048697739965,0.018608539067801053,-0.023
2.2073578595317724,0.01476659292479527,0.05335011061280709,0.03323340707520473,0.03488329646239764,0.023,-0.021
2.240802675585284,0.01789600426682063,0.04220799146635874,0.019519978665896838,0.03889600426682063,0.016207991466358738,-0.021
2.274247491638796,0.015,0.03709033713819977,0.013,0.03609033713819977,0.009,-0.020090337138199774
2.3076923076923075,0.00515310739680497,0.035,0.013,0.03307655369840248,0.009,-0.018076553698402484
2.341137123745819,-0.0009361059647265026,0.035,0.018936105964726502,0.0280638940352735,0.007936105964726502,-0.015
2.374581939799331,-0.002,0.03,0.0229498127010001,0.029,0.009,-0.014
2.4080267558528425,-0.0010364038592025598,0.028,0.02896359614079744,0.02892719228159488,0.01196359614079744,-0.01303640385920256
2.441471571906354,0.0039524153252648506,0.029976207662632426,0.036952415325264845,0.038928622987897274,0.016976207662632425,-0.011
2.474916387959866,0.013979925080399956,0.038979925080399956,0.046969887620599934,0.05196988762059993,0.022979925080399956,-0.005030112379400067
2.508361204013378,0.03001870744207319,0.058037414884146384,0.059022448930487824,0.06801122446524392,0.03501496595365856,0.013059863814634212
2.5418060200668897,0.07362049970489963,0.23851072201456375,0.15479618335628842,0.09542455242966817,0.07980011804052849,0.29912728703522334
2.5752508361204014,0.6412067515969528,3.522206795761745,1.9585110432132495,0.49905124323976574,0.9455352977311209,3.7629285814660016
2.608695652173913,4.763066051506621,23.26060092795329,14.778214941090607,3.5983534042331353,8.742268272338652,14.71073574184131
2.6421404682274248,11.931462160784053,49.66048922177568,35.89341960596949,9.402814282903803,25.916399844218645,20.5785013470271
2.6755852842809364,11.971977769034012,43.91448407858116,35.09304760967925,9.83953194120456,29.6229703774486,13.376311795621216
2.709030100334448,6.048743673957181,19.961564106574365,17.291946612609653,5.196478060361097,16.56619290520767,4.925010185831294
2.74247491638796,1.9119171748967208,5.630093175731852,5.185776212826285,1.7505508357189081,5.465133526320246,1.3331507827211195
2.7759197324414715,0.5861922012952335,1.3662579506719066,1.3035766038857006,0.6048483821622291,1.414160121573712,0.4791544524164179
2.809364548494983,0.3445114410144129,0.5603014845648581,0.535673624311255,0.3917595341786774,0.5391850653256679,0.3587519068357355
2.842809364548495,0.33268389228601125,0.4567264430855955,0.4397264430855955,0.38895744920041575,0.41545288617119097,0.36695744920041573
2.8762541806020065,0.3560539332789971,0.46145168569099876,0.44975280948499796,0.41920449517599667,0.4179033713819975,0.3963550570729963
2.9096989966555182,0.38714903796026723,0.4823131862403054,0.4753131862403054,0.45564148280038175,0.4423131862403054,0.4338056310804199
2.94314381270903,0.4214154263712173,0.5114154263712174,0.5105923546676195,0.4949462112604239,0.47976928296402166,0.47394621126042386
2.9765886287625416,0.4577164056257952,0.5470978290981942,0.5507164056257952,0.5380978290981941,0.5232885408343936,0.5248606760429919
3.0100334448160533,0.5090849995588809,0.6022892495368249,0.6020849995588808,0.5958807495809368,0.5788807495809368,0.6047189993824332
3.043478260869565,0.6333343598308883,0.7219002035596842,0.7065977347460718,0.7018148128816739,0.6808148128816739,0.7416831254240821
3.0769230769230766,0.8166961861667722,0.8917727398651748,0.8573110167143762,0.8573110167143762,0.8347727398651748,0.8896949856865808
3.1103678929765883,0.931176571786049,1.020796660330597,0.9696200885445481,0.9664209234618988,0.9511539784894485,1.0360142441230926
3.1438127090301,1.0254077457069755,1.664420541460713,1.2938244287681535,1.0343469427904926,1.0583499219085601,2.5764392954505855
3.1772575250836117,2.624440190792001,10.087811705283954,5.986406396672281,1.952325510806308,2.7499409074666232,11.895630766018664
3.2107023411371234,9.916292309296235,41.36576060489348,27.39935215305974,7.079176956762237,14.8302865306414,24.156476444262584
3.2441471571906355,16.043020263623845,60.87411922093251,46.285650178466035,12.974245524296677,34.60045645147692,19.957059048368503
3.277591973244147,11.089943557356019,37.86162654627055,32.24794454102701,10.195210766580853,31.5896830531543,8.376955951611377
3.311036789297659,4.265445650168836,12.49420888573425,11.611583223053689,4.414138170400142,13.894365450783212,2.7035829744231417
3.3444816053511706,1.599217644248339,3.3232251121184397,3.256051162940106,1.82150484006312,4.119467922285989,1.3755721793734232
3.3779264214046822,1.0740554228380317,1.5249782468171216,1.51068086900312,1.2663528006520335,1.6583864703071867,1.1975408223490065
3.411371237458194,1.0334586270782706,1.2926241187651883,1.278988775534756,1.2184586270782707,1.2964361781477824,1.208917254156541
3.4448160535117056,1.060021419939213,1.28826606495441,1.2756437424468114,1.2525321299088197,1.2897767749240165,1.2453990974316147
3.4782608695652173,1.0955231483897905,1.3205231483897906,1.3095231483897904,1.3044804530507852,1.3350889921185864,1.2890889921185864
3.511705685618729,1.1344523431422084,1.366666618544629,1.351857101609682,1.3644761354795762,1.389666618544629,1.335857101609682
3.5451505016722407,1.1810139279792184,1.4208495826424217,1.4078495826424215,1.4282674099740231,1.4448495826424217,1.393103064637226
3.5785953177257523,1.228179329256786,1.4790425507995837,1.4704741615709824,1.4904741615709824,1.4966109400281848,1.4632006046565778
3.612040133779264,1.277783182149932,1.5386729024806907,1.533228042315311,1.5502280423153112,1.5453383219845525,1.5380074829768289
3.6454849498327757,1.323495726049617,1.5954116803912197,1.587495726049617,1.603495726049617,1.595495726049617,1.6063276347328226
3.6789297658862874,1.3657176061059872,1.6491328879377833,1.6336611273271846,1.656604648548382,1.6446611273271847,1.6651328879377834
3.712374581939799,1.4063345804961376,1.698819542359423,1.6783345804961376,1.7113045042227082,1.6878195423594229,1.7123345804961376
3.7458193979933108,1.4434831430900117,1.7444793971100143,1.719981270100013,1.7634756511300167,1.7364756511300168,1.7499812701000128
3.7792642140468224,1.484631014947785,1.7846071940481876,1.7641429253975836,1.8131429253975835,1.7901667462971806,1.7856071940481877
3.812709030100334,1.5272506356119115,1.8203007627342938,1.8148258262954848,1.8633007627342937,1.8413508898566762,1.8395513983462053
3.846153846153846,1.5822272601348222,1.9289114414996733,1.897916243420443,1.9136124295872186,1.898688983285621,2.194801274355883
3.8795986622073575,1.902692962134678,3.5963584778392494,2.688945520683167,2.100143114101823,2.1334652242167707,6.237638968630846
3.913043478260869,5.102701647377702,19.14585350849734,11.546856271504401,4.08903253049731,5.463200187675885,17.487525753310322
3.9464882943143813,12.212043253421774,45.86419055113685,32.94133416711167,9.864013574660637,20.823968129057654,17.474892273966436
3.979933110367893,10.725928830395041,34.432667503121685,29.791724531953275,10.006480633725067,28.262590969498177,7.724764163859534
4.013377926421405,4.666364211640752,11.529301292076813,11.378407786145765,5.019785568200986,14.228564784293072,3.1875507206275255
4.046822742474916,2.3076859037929647,3.7052217676368504,3.791427318753619,2.714118715044556,4.77656389646164,2.3234111022335378
4.080267558528428,1.9178233607824406,2.427558163064559,2.431131643292771,2.3031910008150422,2.60827812596611,2.2436323599673984
4.113712374581939,1.902226843274544,2.298773156725456,2.2911277880705474,2.2888722119294527,2.336964838831277,2.269453686549088
4.147157190635451,1.9292698109344066,2.304293631834004,2.303269810934407,2.3219285373012077,2.3286349054672035,2.318222169135212
4.180602006688963,1.9643800784527856,2.327035058839589,2.3387250980659817,2.36439760787258,2.3557075686461872,2.3867776863253654
4.214046822742475,1.9927982924697032,2.356798292469703,2.3849111145865916,2.4135965849394063,2.3932256442337767,2.476451288467554
4.247491638795986,2.022892133442005,2.3838921334420053,2.4394831430900106,2.4768808955020125,2.4498808955020124,2.5672786479140135
4.280936454849498,2.0512759578747883,2.4142759578747883,2.490839256103779,2.5621038314991536,2.522827873624365,2.6084253192915963
4.31438127090301,2.0790790043550444,2.444530148456486,2.5226278602536034,2.6616881571665747,2.5956091528115306,2.586469851543514
4.3478260869565215,2.1099122083616058,2.482390260452007,2.536217078135602,2.7276512344068062,2.630956104180803,2.560782921864398
4.381270903010034,2.1400224758799844,2.5160224758799843,2.5537640474249903,2.7174719051500196,2.6294943810300038,2.565011237939992
4.414715719063545,2.1786567374862646,2.542594042491759,2.5793597162403854,2.6718746100109882,2.627531347497253,2.5875940424917587
4.448160535117057,2.221350110612807,2.5656750553064036,2.609454231190804,2.6607791758844006,2.6492334070752044,2.6152334070752046
4.481605351170568,2.2822732678355626,2.5933436745935836,2.642136633917781,2.6779647966209894,2.680136633917781,2.6465507152693855
4.51505016722408,2.3627270598237122,2.6278635299118562,2.6788635299118564,2.7038346526791943,2.7122519790187916,2.6991155089306473
4.548494983277592,2.4675797717080137,2.7651721263756324,2.762315051773217,2.7438319086832053,2.756289885854007,3.118470082347314
4.581939799331104,2.9007779633592543,5.059020392103316,3.8105223012281777,2.965637972914917,3.00780082869268,8.665733902925695
4.615384615384615,7.535661040398354,27.299170171554636,16.805900940785556,5.792701162147141,7.374338129496291,22.522441892639613
4.648829431438127,15.577642309097513,55.23144194935493,41.88164492285194,12.885945645147634,27.691520361990705,17.694521345662146
4.682274247491638,10.369027964363063,30.46111602500556,27.789380548206083,10.394221530752814,30.583370643240666,6.721358032176132
4.7157190635451505,4.214697613146916,8.574377757994192,8.627326965183627,4.832837824723474,12.05599838791164,3.4770830666570336
4.749163879598662,2.7174539421119706,3.670774562667905,3.7117820546279003,3.229260684875967,4.418630770033819,3.0383123617339933
4.782608695652174,2.5487793204238223,3.085810010960908,3.089983193277313,3.039865911582025,3.189832298136651,3.0226536353671905
4.816053511705685,2.561408644322,3.04692608054025,3.0508521610805,3.0582608054025,3.08322175837925,3.0533347248622498
4.849498327759197,2.594457977170802,3.0626988762060012,3.0735182019296015,3.098397752412002,3.1015182019296015,3.097337527653202
4.882943143812708,2.6344891454909716,3.0936284694479794,3.1055820281289765,3.1395355868099744,3.1424891454909716,3.1503962628529663
4.916387959866221,2.6775603690960272,3.1385265513341833,3.1525265513341836,3.1826280046197155,3.1885603690960274,3.2035603690960275
4.949832775919732,2.7178193257235996,3.1868193257235995,3.2017992508039996,3.2287992508039998,3.242739026045199,3.2418394006431996
4.983277591973244,2.7499496681615794,3.2109559596413817,3.226962251121184,3.2719307937221713,3.276955959641382,3.2769433766817766
5.016722408026756,2.787062914798026,3.2480754977576316,3.258044040358618,3.3140754977576314,3.3050566233182237,3.312062914798026
5.050167224080267,2.8261806742763995,3.2982609739547994,3.2972609739547996,3.3632208241155994,3.3401605993567993,3.3572408990351996
